sofifa_id,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur
172871,J. Vertonghen,Jan Vertonghen,32,1987-04-24,189,86,Belgium,Tottenham Hotspur,87,87,32500000,155000
175943,D. Mertens,Dries Mertens,32,1987-05-06,169,61,Belgium,Napoli,87,87,40000000,135000
178603,M. Hummels,Mats  Hummels,30,1988-12-16,191,94,Germany,Borussia Dortmund,87,87,41000000,130000
184087,T. Alderweireld,Toby Alderweireld,30,1989-03-02,186,81,Belgium,Tottenham Hotspur,87,87,41000000,155000
189332,Jordi Alba,Jordi Alba Ramos,30,1989-03-21,170,68,Spain,FC Barcelona,87,87,40000000,240000
189509,Thiago,Thiago Alcântara do Nascimento,28,1991-04-11,174,70,Spain,FC Bayern München,87,87,50000000,180000
193041,K. Navas,Keylor Navas,32,1986-12-15,185,80,Costa Rica,Real Madrid,87,87,30500000,195000
198219,L. Insigne,Lorenzo Insigne,28,1991-06-04,163,59,Italy,Napoli,87,87,52000000,140000
222492,L. Sané,Leroy Sané,23,1996-01-11,183,75,Germany,Manchester City,86,92,61000000,195000
207865,Marquinhos,Marcos  Aoás Corrêa,25,1994-05-14,183,75,Brazil,Paris Saint-Germain,86,90,51500000,120000
232363,M. Škriniar,Milan Škriniar,24,1995-02-11,187,80,Slovakia,Inter,86,90,52000000,89000
199556,M. Verratti,Marco Verratti,26,1992-11-05,165,60,Italy,Paris Saint-Germain,86,89,54500000,140000
205600,S. Umtiti,Samuel Umtiti,25,1993-11-14,182,75,France,FC Barcelona,86,89,50000000,210000
186153,W. Szczęsny,Wojciech  Szczęsny,29,1990-04-18,195,90,Poland,Juventus,86,88,37500000,135000
212622,J. Kimmich,Joshua Kimmich,24,1995-02-08,176,73,Germany,FC Bayern München,86,88,48000000,125000
197781,Isco,Francisco Román Alarcón Suárez,27,1992-04-21,176,79,Spain,Real Madrid,86,87,51000000,245000
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27,1991-10-02,181,76,Brazil,Liverpool,86,87,52000000,170000
168651,I. Rakitić,Ivan Rakitić,31,1988-03-10,184,78,Croatia,FC Barcelona,86,86,38000000,245000
180206,M. Pjanić,Miralem Pjanić,29,1990-04-02,178,72,Bosnia Herzegovina,Juventus,86,86,42500000,180000
183898,A. Di María,Ángel Fabián Di María Hernández,31,1988-02-14,180,69,Argentina,Paris Saint-Germain,86,86,39000000,150000
184344,L. Bonucci,Leonardo Bonucci,32,1987-05-01,190,85,Italy,Juventus,86,86,28500000,160000
189242,Coutinho,Philippe Coutinho Correia,27,1992-06-12,172,68,Brazil,FC Bayern München,86,86,46500000,175000
189513,Parejo,Daniel Parejo Muñoz,30,1989-04-16,182,74,Spain,Valencia CF,86,86,41000000,69000
189596,T. Müller,Thomas Müller,29,1989-09-13,186,75,Germany,FC Bayern München,86,86,43500000,170000
192387,C. Immobile,Ciro Immobile,29,1990-02-20,185,85,Italy,Lazio,86,86,44500000,105000
193301,A. Lacazette,Alexandre Lacazette,28,1991-05-28,175,73,France,Arsenal,86,86,46000000,165000
235243,M. de Ligt,Matthijs de Ligt,19,1999-08-12,189,89,Netherlands,Juventus,85,93,50000000,76000
230621,G. Donnarumma,Gianluigi Donnarumma,20,1999-02-25,196,90,Italy,Milan,85,92,41500000,34000
228702,F. de Jong,Frenkie de Jong,22,1997-05-12,180,74,Netherlands,FC Barcelona,85,91,52000000,195000
201535,R. Varane,Raphaël Varane,26,1993-04-25,191,81,France,Real Madrid,85,90,45000000,205000
212190,N. Süle,Niklas Süle,23,1995-09-03,195,97,Germany,FC Bayern München,85,90,46500000,115000
223848,S. Milinković-Savić,Sergej Milinković-Savić,24,1995-02-27,191,76,Serbia,Lazio,85,90,50500000,73000
231866,Rodri,Rodrigo Hernández Cascante,23,1996-06-22,191,82,Spain,Manchester City,85,90,47000000,150000
208421,Saúl,Saúl Ñíguez Esclápez,24,1994-11-21,184,77,Spain,Atlético Madrid,85,89,49500000,77000
209499,Fabinho,Fábio Henrique Tavares,25,1993-10-23,188,78,Brazil,Liverpool,85,89,45000000,125000
216267,A. Robertson,Andrew Robertson,25,1994-03-11,178,64,Scotland,Liverpool,85,89,43500000,125000
216460,J. Giménez,José María Giménez de Vargas,24,1995-01-20,185,80,Uruguay,Atlético Madrid,85,89,45000000,69000
220440,C. Lenglet,Clément Lenglet,24,1995-06-17,186,81,France,FC Barcelona,85,89,45000000,175000
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,24,1994-09-08,179,69,Portugal,Sporting CP,85,88,49000000,24000
199482,A. Lopes,Anthony Lopes,28,1990-10-01,184,81,Portugal,Olympique Lyonnais,85,87,33500000,88000
185122,P. Gulácsi,Péter Gulácsi,29,1990-05-06,192,86,Hungary,RB Leipzig,85,86,31000000,69000
189117,R. Bürki,Roman Bürki,28,1990-11-14,187,85,Switzerland,Borussia Dortmund,85,86,32000000,92000
192505,R. Lukaku,Romelu Lukaku,26,1993-05-13,190,94,Belgium,Inter,85,86,46000000,115000
192774,K. Manolas,Kostas Manolas,28,1991-06-14,189,83,Greece,Napoli,85,86,37500000,105000
194404,Neto,Norberto Murara Neto,29,1989-07-19,190,84,Brazil,FC Barcelona,85,86,31000000,175000
197445,D. Alaba,David Olatukunbo Alaba,27,1992-06-24,180,78,Austria,FC Bayern München,85,86,38000000,135000
201399,M. Icardi,Mauro Emanuel Icardi Rivero,26,1993-02-19,181,75,Argentina,Inter,85,86,46000000,115000
204963,Carvajal,Daniel Carvajal Ramos,27,1992-01-11,173,73,Spain,Real Madrid,85,86,38000000,205000
208670,H. Ziyech,Hakim Ziyech,26,1993-03-19,181,65,Morocco,Ajax,85,86,45000000,39000
41236,Z. Ibrahimović,Zlatan Ibrahimović,37,1981-10-03,195,95,Sweden,LA Galaxy,85,85,14000000,15000
143076,A. Gómez,Alejandro Darío Gómez,31,1988-02-15,165,68,Argentina,Atalanta,85,85,34000000,92000
167664,G. Higuaín,Gonzalo Gerardo Higuaín,31,1987-12-10,186,89,Argentina,Juventus,85,85,34500000,175000
170890,B. Matuidi,Blaise Matuidi,32,1987-04-09,180,75,France,Juventus,85,85,25000000,145000
173731,G. Bale,Gareth Frank Bale,29,1989-07-16,185,82,Wales,Real Madrid,85,85,37500000,250000
176676,Marcelo,Marcelo Vieira da Silva Júnior,31,1988-05-12,174,75,Brazil,Real Madrid,85,85,28000000,205000
177413,A. Witsel,Axel  Witsel,30,1989-01-12,186,81,Belgium,Borussia Dortmund,85,85,31500000,110000
191043,Alex Sandro,Alex Sandro Lobo Silva,28,1991-01-26,180,80,Brazil,Juventus,85,85,33000000,155000
192629,Iago Aspas,Iago Aspas Juncal,31,1987-08-01,176,67,Spain,RC Celta,85,85,34500000,49000
193747,Koke,Jorge Resurrección Merodio,27,1992-01-08,176,74,Spain,Atlético Madrid,85,85,40500000,88000
198710,J. Rodríguez,James David Rodríguez Rubio,27,1991-07-12,180,75,Colombia,Real Madrid,85,85,40500000,225000
199914,Allan,Allan Marques Loureiro,28,1991-01-08,175,74,Brazil,Napoli,85,85,38000000,110000
233049,J. Sancho,Jadon Sancho,19,2000-03-25,180,76,England,Borussia Dortmund,84,92,44500000,61000
235790,K. Havertz,Kai Havertz,20,1999-06-11,188,83,Germany,Bayer 04 Leverkusen,84,92,46000000,70000
231443,O. Dembélé,Ousmane Dembélé,22,1997-05-15,178,67,France,FC Barcelona,84,90,42500000,195000
206585,Kepa,Kepa Arrizabalaga,24,1994-10-03,186,85,Spain,Chelsea,84,89,31000000,92000
210514,João Cancelo,João Pedro Cavaco Cancelo,25,1994-05-27,182,74,Portugal,Manchester City,84,89,36500000,150000
211117,D. Alli,Bamidele Alli,23,1996-04-11,188,80,England,Tottenham Hotspur,84,89,41500000,115000
220814,L. Hernández,Lucas Hernández,23,1996-02-14,182,76,France,FC Bayern München,84,89,37500000,110000
230658,Arthur,Arthur Henrique Ramos Oliveira Melo,22,1996-08-12,171,73,Brazil,FC Barcelona,84,89,41000000,180000
202556,M. Depay,Memphis Depay,25,1994-02-13,176,78,Netherlands,Olympique Lyonnais,84,88,40500000,110000
209658,L. Goretzka,Leon Goretzka,24,1995-02-06,189,79,Germany,FC Bayern München,84,88,40000000,120000
212194,J. Brandt,Julian Brandt,23,1996-05-02,185,83,Germany,Borussia Dortmund,84,88,40500000,94000
213345,K. Coman,Kingsley Coman,23,1996-06-13,179,75,France,FC Bayern München,84,88,40500000,120000
206113,S. Gnabry,Serge Gnabry,23,1995-07-14,175,75,Germany,FC Bayern München,84,87,39500000,120000
216594,N. Fekir,Nabil Fekir,25,1993-07-18,173,75,France,Real Betis,84,87,39000000,40000
192563,B. Leno,Bernd Leno,27,1992-03-04,190,83,Germany,Arsenal,84,86,26000000,91000
198706,Luis Alberto,Luis Alberto Romero Alconchel,26,1992-09-28,183,74,Spain,Lazio,84,86,37500000,78000
212462,Alex Telles,Alex Nicolao Telles,26,1992-12-15,181,71,Brazil,FC Porto,84,86,33000000,23000
236583,J. Pavlenka,Jiří Pavlenka,27,1992-04-14,196,81,Czech Republic,SV Werder Bremen,84,86,26000000,37000
198176,S. de Vrij,Stefan de Vrij,27,1992-02-05,189,78,Netherlands,Inter,84,85,31500000,88000
201995,Felipe Anderson,Felipe  Anderson Pereira Gomes,26,1993-04-15,175,70,Brazil,West Ham United,84,85,36500000,125000
120533,Pepe,Képler Laveran Lima Ferreira,36,1983-02-26,188,81,Portugal,FC Porto,84,84,6500000,16000
162347,João Moutinho,João Filipe Iria Santos Moutinho,32,1986-09-08,170,61,Portugal,Wolverhampton Wanderers,84,84,23500000,125000
167628,S. Ruffier,Stéphane Ruffier,32,1986-09-27,188,93,France,AS Saint-Étienne,84,84,19000000,41000
168435,S. Sirigu,Salvatore Sirigu,32,1987-01-12,192,80,Italy,Torino,84,84,19000000,54000
171877,M. Hamšík,Marek Hamšík,31,1987-07-27,183,73,Slovakia,Dalian YiFang FC,84,84,26500000,26000
172879,Sokratis,Sokratis Papastathopoulos,31,1988-06-09,186,85,Greece,Arsenal,84,84,23000000,115000
176266,Lucas Leiva,Lucas  Pezzini Leiva,32,1987-01-09,179,78,Brazil,Lazio,84,84,20500000,71000
176635,M. Özil,Mesut Özil,30,1988-10-15,180,76,Germany,Arsenal,84,84,29500000,125000
177610,Javi Martínez,Javier Martínez Aginaga,30,1988-09-02,192,86,Spain,FC Bayern München,84,84,25500000,125000
177683,Y. Sommer,Yann Sommer,30,1988-12-17,183,79,Switzerland,Borussia Mönchengladbach,84,84,21000000,37000
180930,E. Džeko,Edin Džeko,33,1986-03-17,193,80,Bosnia Herzegovina,Roma,84,84,19500000,75000
181291,G. Wijnaldum,Georginio Wijnaldum,28,1990-11-11,175,69,Netherlands,Liverpool,84,84,31000000,140000
181458,I. Perišić,Ivan Perišić,30,1989-02-02,186,80,Croatia,FC Bayern München,84,84,29500000,135000
181783,M. Mandžukić,Mario Mandžukić,33,1986-05-21,190,85,Croatia,Juventus,84,84,19500000,160000
181872,A. Vidal,Arturo Vidal,32,1987-05-22,180,75,Chile,FC Barcelona,84,84,23500000,205000
183907,J. Boateng,Jérôme Boateng,30,1988-09-03,192,90,Germany,FC Bayern München,84,84,25000000,125000
184432,Azpilicueta,César Azpilicueta Tanco,29,1989-08-28,178,76,Spain,Chelsea,84,84,25500000,145000
185020,José Callejón,José María Callejón Bueno,32,1987-02-11,178,73,Spain,Napoli,84,84,24000000,96000
186942,I. Gündoğan,İlkay Gündoğan,28,1990-10-24,180,80,Germany,Manchester City,84,84,31000000,180000
187961,Paulinho,José Paulo Bezzera Maciel Júnior,30,1988-07-25,183,80,Brazil,Guangzhou Evergrande Taobao FC,84,84,29000000,43000
188377,K. Walker,Kyle Walker,29,1990-05-28,183,70,England,Manchester City,84,84,25500000,165000
190286,Canales,Sergio Canales Madrazo,28,1991-02-16,176,65,Spain,Real Betis,84,84,31500000,44000
190483,Douglas Costa,Douglas Costa de Souza,28,1990-09-14,172,70,Brazil,Juventus,84,84,31500000,155000
197965,Pizzi,Luís Miguel Afonso Fernandes,29,1989-10-06,177,72,Portugal,SL Benfica,84,84,30500000,26000
199434,D. Tadić,Dušan Tadić,30,1988-11-20,181,76,Serbia,Ajax,84,84,29500000,36000
200647,J. Iličić,Josip Iličić,31,1988-01-29,190,79,Slovenia,Atalanta,84,84,28000000,92000
204485,R. Mahrez,Riyad Mahrez,28,1991-02-21,179,67,Algeria,Manchester City,84,84,31500000,195000
205678,E. Višća,Edin Višća,29,1990-02-17,172,63,Bosnia Herzegovina,Medipol Başakşehir FK,84,84,30500000,67000
207863,Felipe,Felipe Augusto de Almeida Monteiro,30,1989-05-16,190,83,Brazil,Atlético Madrid,84,84,25000000,74000
226271,Fabián,Fabián Ruiz Peña,23,1996-04-03,189,70,Spain,Napoli,83,90,36000000,76000
210413,A. Romagnoli,Alessio Romagnoli,24,1995-01-12,188,78,Italy,Milan,83,89,32000000,46000
226226,G. Lo Celso,Giovani Lo Celso,23,1996-04-09,177,68,Argentina,Tottenham Hotspur,83,89,35000000,105000
231281,T. Alexander-Arnold,Trent Alexander-Arnold,20,1998-10-07,180,69,England,Liverpool,83,89,32000000,78000
232432,L. Jović,Luka Jović,21,1997-12-23,182,85,Serbia,Real Madrid,83,89,36500000,155000
205175,A. Milik,Arkadiusz Milik,25,1994-02-28,186,78,Poland,Napoli,83,88,35000000,91000
211300,A. Martial,Anthony Martial,23,1995-12-05,184,76,France,Manchester United,83,88,34500000,140000
212523,Anderson Talisca,Anderson Souza Conceição,25,1994-02-01,190,80,Brazil,Guangzhou Evergrande Taobao FC,83,88,34500000,38000
213331,J. Tah,Jonathan Tah,23,1996-02-11,195,97,Germany,Bayer 04 Leverkusen,83,88,31000000,67000
219683,C. Tolisso,Corentin Tolisso,24,1994-08-03,181,81,France,FC Bayern München,83,88,34000000,110000
221087,Pau López,Pau López Sabata,24,1994-12-13,189,77,Spain,Roma,83,88,26000000,38000
224411,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,22,1996-11-29,179,68,Portugal,Valencia CF,83,88,34500000,46000
226110,N. Pépé,Nicolas Pépé,24,1995-05-29,183,73,Ivory Coast,Arsenal,83,88,34500000,97000
229237,M. Akanji,Manuel Obafemi Akanji,23,1995-07-19,187,91,Switzerland,Borussia Dortmund,83,88,31000000,77000
231677,M. Rashford,Marcus Rashford,21,1997-10-31,186,70,England,Manchester United,83,88,35500000,125000
203574,J. Stones,John Stones,25,1994-05-28,188,70,England,Manchester City,83,87,30000000,140000
210008,A. Rabiot,Adrien Rabiot,24,1995-04-03,192,80,France,Juventus,83,87,33000000,120000
210035,Grimaldo,Alejandro Grimaldo García,23,1995-09-20,171,69,Spain,SL Benfica,83,87,29500000,18000
212188,T. Werner,Timo Werner,23,1996-03-06,180,75,Germany,RB Leipzig,83,87,34500000,70000
213565,T. Lemar,Thomas Lemar,23,1995-11-12,171,62,France,Atlético Madrid,83,87,34000000,64000
220793,D. Sánchez,Davinson Sánchez,23,1996-06-12,187,79,Colombia,Tottenham Hotspur,83,87,30500000,93000
220834,Marco Asensio,Marco Asensio Willemsen,23,1996-01-21,182,76,Spain,Real Madrid,83,87,34000000,180000
200458,L. Digne,Lucas Digne,25,1993-07-20,178,74,France,Everton,83,86,28500000,97000
202166,J. Draxler,Julian Draxler,25,1993-09-20,187,77,Germany,Paris Saint-Germain,83,86,32500000,100000
204935,J. Pickford,Jordan Pickford,25,1994-03-07,185,77,England,Everton,83,86,24000000,78000
208418,Y. Carrasco,Yannick Ferreira Carrasco,25,1993-09-04,180,71,Belgium,Dalian YiFang FC,83,86,32500000,23000
224179,Borja Iglesias,Borja Iglesias Quintas,26,1993-01-17,187,86,Spain,Real Betis,83,86,32500000,41000
192984,K. Casteels,Koen Casteels,27,1992-06-25,197,86,Belgium,VfL Wolfsburg,83,85,22000000,50000
198717,W. Zaha,Wilfried Zaha,26,1992-11-10,180,66,Ivory Coast,Crystal Palace,83,85,32000000,89000
200454,Paco Alcácer,Francisco Alcácer García,25,1993-08-30,175,72,Spain,Borussia Dortmund,83,85,32000000,105000
201153,Morata,Álvaro Borja Morata Martín,26,1992-10-23,189,84,Spain,Atlético Madrid,83,85,32000000,80000
205693,S. Haller,Sébastien Haller,25,1994-06-22,190,82,France,West Ham United,83,85,32000000,120000
207566,William Carvalho,William Silva de Carvalho,27,1992-04-07,187,83,Portugal,Real Betis,83,85,27500000,35000
212404,F. Bernardeschi,Federico Bernardeschi,25,1994-02-16,185,77,Italy,Juventus,83,85,31500000,130000
217940,D. Djené,Djené Dakonam Ortega,27,1991-12-31,178,72,Togo,Getafe CF,83,85,27000000,35000
188152,Oscar,Oscar dos Santos Emboaba Júnior,27,1991-09-09,181,71,Brazil,Shanghai SIPG FC,83,84,29500000,29000
188943,K. Trapp,Kevin Trapp,28,1990-07-08,189,86,Germany,Eintracht Frankfurt,83,84,21500000,42000
198141,Bartra,Marc Bartra Aregall,28,1991-01-15,184,73,Spain,Real Betis,83,84,25500000,36000
198950,Pablo Sarabia,Pablo Sarabia García,27,1992-05-11,174,70,Spain,Paris Saint-Germain,83,84,29500000,105000
199987,J. Cillessen,Jasper Cillessen,30,1989-04-22,185,83,Netherlands,Valencia CF,83,84,20000000,39000
200949,Lucas Moura,Lucas Rodrigues M. Silva,26,1992-08-13,174,70,Brazil,Tottenham Hotspur,83,84,31000000,130000
204970,F. Thauvin,Florian Thauvin,26,1993-01-26,179,70,France,Olympique de Marseille,83,84,30500000,60000
205498,Jorginho,Luiz Frello Filho Jorge,27,1991-12-20,180,67,Italy,Chelsea,83,84,29000000,140000
1179,G. Buffon,Gianluigi Buffon,41,1978-01-28,192,92,Italy,Juventus,83,83,2600000,58000
5479,Casillas,Iker Casillas Fernández,38,1981-05-20,185,84,Spain,FC Porto,83,83,2600000,11000
104389,R. Jarstein,Rune  Almenning Jarstein,34,1984-09-29,190,86,Norway,Hertha BSC,83,83,11500000,33000
139720,V. Kompany,Vincent Kompany,33,1986-04-10,190,85,Belgium,RSC Anderlecht,83,83,12000000,31000
157481,Raúl Albiol,Raúl Albiol Tortajada,33,1985-09-04,190,82,Spain,Villarreal CF,83,83,12000000,45000
159261,F. Quagliarella,Fabio Quagliarella,36,1983-01-31,180,79,Italy,Sampdoria,83,83,9500000,46000
163587,K. Schmeichel,Kasper Schmeichel,32,1986-11-05,189,89,Denmark,Leicester City,83,83,15500000,82000
167397,Falcao,Radamel Falcao García Zárate,33,1986-02-10,177,72,Colombia,AS Monaco,83,83,16500000,64000
168609,Miranda,João Miranda de Souza Filho,34,1984-09-07,186,78,Brazil,Jiangsu Suning FC,83,83,9500000,32000
169416,C. Vela,Carlos Alberto Vela Garrido,30,1989-03-01,177,77,Mexico,Los Angeles FC,83,83,24500000,17000
170481,E. Garay,Ezequiel Marcelo Garay,32,1986-10-10,189,90,Argentina,Valencia CF,83,83,16500000,48000
178005,Rui Patrício,Rui Pedro dos Santos Patrício,31,1988-02-15,190,84,Portugal,Wolverhampton Wanderers,83,83,16500000,82000
178518,R. Nainggolan,Radja Nainggolan,31,1988-05-04,176,77,Belgium,Cagliari,83,83,22500000,51000
178562,E. Banega,Éver Maximiliano David Banega,31,1988-06-29,174,71,Argentina,Sevilla FC,83,83,19500000,26000
179844,Diego Costa,Diego da Silva Costa,30,1988-10-07,188,86,Spain,Atlético Madrid,83,83,25000000,80000
179846,S. Khedira,Sami Khedira,32,1987-04-04,189,90,Germany,Juventus,83,83,19500000,135000
179944,David Luiz,David Luiz Moreira Marinho,32,1987-04-22,189,86,Brazil,Arsenal,83,83,16500000,105000
183574,M. Kruse,Max Kruse,31,1988-03-19,180,76,Germany,Fenerbahçe SK,83,83,23500000,105000
183711,J. Henderson,Jordan Brian Henderson,29,1990-06-17,182,80,England,Liverpool,83,83,22000000,115000
184484,G. Sigurðsson,Gylfi Þór Sigurðsson,29,1989-09-08,186,77,Iceland,Everton,83,83,25500000,120000
186561,A. Ramsey,Aaron Ramsey,28,1990-12-26,183,76,Wales,Juventus,83,83,25500000,140000
190584,Illarramendi,Asier Illarramendi Andonegi,29,1990-03-08,179,75,Spain,Real Sociedad,83,83,22000000,42000
190815,D. Blind,Daley Blind,29,1990-03-09,180,72,Netherlands,Ajax,83,83,22000000,31000
190941,L. Hrádecký,Lukáš Hrádecký,29,1989-11-24,192,85,Finland,Bayer 04 Leverkusen,83,83,18500000,67000
192366,N. Otamendi,Nicolás Hernán Otamendi,31,1988-02-12,183,81,Argentina,Manchester City,83,83,19000000,145000
193082,J. Cuadrado,Juan Cuadrado,31,1988-05-26,179,72,Colombia,Juventus,83,83,22500000,135000
193474,I. Gueye,Idrissa Gana Gueye,29,1989-09-26,174,66,Senegal,Paris Saint-Germain,83,83,22000000,100000
195365,K. Kampl,Kevin Kampl,28,1990-10-09,178,67,Slovenia,RB Leipzig,83,83,25500000,77000
198329,Rodrigo,Rodrigo Moreno Machado,28,1991-03-06,182,77,Spain,Valencia CF,83,83,27000000,60000
199042,C. Aránguiz,Charles Mariano Aránguiz Sandoval,30,1989-04-17,171,70,Chile,Bayer 04 Leverkusen,83,83,24000000,86000
199451,W. Ben Yedder,Wissam Ben Yedder,28,1990-08-12,170,68,France,AS Monaco,83,83,27000000,67000
199845,F. Acerbi,Francesco Acerbi,31,1988-02-10,192,88,Italy,Lazio,83,83,19000000,64000
200888,Danilo Pereira,Danilo Luís Hélio Pereira,27,1991-09-09,188,83,Portugal,FC Porto,83,83,24000000,21000
216354,A. Kramarić,Andrej Kramarić,28,1991-06-19,177,73,Croatia,TSG 1899 Hoffenheim,83,83,27000000,61000
230294,Louri Beretta,Lourival Adnan Beretta Barbosa,27,1992-02-29,188,83,Brazil,Atlético Mineiro,83,83,27500000,60000
230375,Josué Chiamulera,Josué Durval Chiamulera Vaz,27,1992-02-29,185,80,Brazil,Grêmio,83,83,23500000,43000
230481,Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,27,1992-02-29,177,75,Brazil,Grêmio,83,83,27000000,51000
230142,Oyarzabal,Mikel Oyarzabal Ugarte,22,1997-04-21,181,78,Spain,Real Sociedad,82,89,31000000,39000
229906,L. Bailey,Leon Bailey Butler,21,1997-08-09,178,79,Jamaica,Bayer 04 Leverkusen,82,88,30500000,65000
